Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
ESYT1,0.43632423534693887,9.846024091790621,4.602446549735958,4.7970135956290276e-5,0.009731434712022787,1.9696110223413363
NCRNA00219,-0.486015310783684,10.385712515939984,-4.602347092575649,4.7984674763643926e-5,0.009731434712022787,1.9693344843734621
TEAD2,0.5798574819490024,8.17628626757946,4.602262514870441,4.799704188667077e-5,0.009731434712022787,1.9690993193510273
BASP1,0.6674964340779631,9.758827744213493,4.601784908031238,4.806693752884658e-5,0.009731434712022787,1.9677713696857797
AGRN,0.7856226023714012,8.01993235259984,4.595702240231329,4.896593551035974e-5,0.009731434712022787,1.950861593447108
LOC442609,-0.5149757996352329,6.052384293807932,-4.591722234967979,4.9563117908036334e-5,0.009731434712022787,1.9397998469934326
STAT3,0.5005050267213726,10.222383734841538,4.5897632769325325,4.9859682018127187e-5,0.009731434712022787,1.9343560280630463
GNPDA1,0.504495290836423,8.971751206499649,4.588113878534551,5.0110738278644876e-5,0.009731434712022787,1.929772851215855
C7orf10,0.9055492034327588,5.9902949582496055,4.585521086022802,5.050791058214621e-5,0.009731434712022787,1.922569001896381
KLHDC2,-0.5727903699180543,9.28968713020052,-4.584656755563139,5.064099988592016e-5,0.009731434712022787,1.920167734158854
MX1,1.1003131105012782,9.70803428558106,4.578851286546007,5.154392583108844e-5,0.009772787335792992,1.9040416771969557
C1QTNF7,-0.593109038050181,5.611770649687746,-4.577290725881963,5.178933420572052e-5,0.009772787335792992,1.8997076255330771
SHMT2,0.47545328367865913,9.590364121682388,4.564997832050173,5.376316106482162e-5,0.00997014944924454,1.865578848232806
SLC25A19,0.5260132000395921,6.9384336708839305,4.56485081921719,5.378720938435181e-5,0.00997014944924454,1.8651708209243276
UBE2L6,0.49008176585862945,10.027204010341903,4.560962710004496,5.442708658915268e-5,0.010000261014880631,1.8543806297408043
CSRP2BP,-0.6234670571372543,6.582312226686644,-4.557371557630187,5.5024752855944775e-5,0.010022160637570601,1.8444163936226055
LOC730278,0.5455949171187461,10.320240755747594,4.5518682343782775,5.5953226043014755e-5,0.010084272653892805,1.8291499881398847
SNHG6,-0.6591640299632167,11.306607951750452,-4.549087261452341,5.64282610947161e-5,0.010084272653892805,1.8214370746720743
